N,P,K,temperature,humidity,ph,rainfall,elevation,slope,aspect,water_holding_capacity,wind_speed,solar_radiation,soil_texture,ec,zn,label
63,15,94,10.7487195,13.62799233,7.187051079,499.2831643,2493.711395,19.41346496,North,50.80583579,80.70504407,368.4222797,Silt,0.530634064,63.252319,Wheat
36,100,13,-1.037419644,98.2071855,13.6874134,128.9492617,434.1470467,21.01779273,East,9.589813609,66.33963568,887.2238277,Clay,0.167468221,69.97676296,Cotton
39,1,37,12.96086725,72.94047598,3.078696238,499.741091,389.7595005,13.4628294,West,93.03476243,47.04107508,0.985766082,Clay,0.800754078,42.50142962,Corn
33,63,87,-0.093093499,93.14727799,12.21733704,338.5108733,4820.3317,43.76125252,South,29.18202398,35.01444877,310.4207646,Sandy,0.083638796,85.60612284,Cotton
14,57,27,22.14156982,36.28939415,5.522103301,22.54021023,1877.802501,73.80214153,North,30.07423457,11.4049036,454.5743807,Silt,0.212549003,75.37810847,Corn
10,15,0,39.03410369,61.96855385,11.96643257,169.4891613,2459.907893,14.57000757,North,29.8573072,63.31932491,714.9049281,Sandy,0.349478514,10.87418941,Potatoes
85,7,18,20.60392677,47.15164821,12.83182495,376.1212474,3915.423251,72.23301035,South,89.82374527,57.70330426,9.093227083,Loamy,0.34301067,29.64423904,Barley
60,42,72,16.47189363,11.2561659,8.762212651,188.1146086,1223.04432,77.96623214,East,42.30363735,53.1682061,344.372688,Silt,0.264901846,9.721756463,Potatoes
6,27,18,26.69328825,27.02238427,13.22298213,34.4783307,1971.538721,20.24880038,West,99.02822087,44.22475833,600.0030586,Loamy,0.579736795,14.1769411,Rice
95,74,27,39.87628344,95.35107179,7.639133336,420.170845,4054.561286,80.20123145,West,77.38893249,61.49709722,309.585877,Clay,0.354718029,3.468823193,Wheat
95,43,3,1.439355525,6.457483866,4.989382449,306.2577217,4578.100347,32.21614641,West,79.82520028,65.33669203,579.3576156,Loamy,0.712853282,20.98599636,Cotton
59,25,61,42.99945149,72.94045544,11.54154051,426.7813345,3272.157547,39.80600985,East,72.80949978,11.52531037,540.0439672,Clay,0.71372269,99.42681076,Potatoes
68,23,32,0.035823739,76.64449989,7.648527943,345.1550967,2131.759565,58.12567387,North,17.58820701,10.03057341,890.5967487,Silt,0.713443202,97.68724975,Wheat
84,90,70,37.76021535,89.46022559,10.95479361,440.0592501,3984.416976,14.48101901,East,41.92388657,33.7884737,789.6475838,Sandy,0.152002176,29.20323022,Corn
46,63,97,5.994243664,85.92190221,0.932804902,287.3087321,4092.887525,72.62028595,South,46.01862063,81.1107495,821.6133475,Loamy,0.999971578,88.11894371,Soybeans
9,5,81,7.501810984,69.90174294,7.972081975,368.820878,1300.767469,72.05604067,East,69.32064805,66.79273386,528.0772772,Clay,0.543526468,65.8434821,Barley
90,39,46,32.02132169,57.14993441,8.074745061,259.8014618,1400.413431,26.69041235,South,67.86633729,50.25685039,866.739612,Silt,0.419836162,60.13260044,Cotton
3,42,64,34.07844735,29.78629365,6.093245731,347.581903,2826.886085,8.207344674,North,64.17722776,76.9671576,259.504667,Clay,0.311313442,0.982144159,Cotton
28,98,0,16.76199893,42.50611953,12.40106189,375.7351951,314.3414336,71.51991089,East,31.65296976,76.32608463,633.7569616,Sandy,0.996270299,87.70632277,Cotton
53,96,7,0.913258181,31.29700479,4.216600871,294.0227313,3913.287672,18.28952596,West,23.43097737,82.1018767,701.1305918,Sandy,0.729669562,47.664354,Soybeans
70,33,83,-5.571798537,20.05910871,9.806933827,54.08042225,2137.334427,25.42441292,West,4.930940067,43.63936237,154.8035217,Sandy,0.220811533,18.97821302,Cotton
44,67,63,37.55355844,61.6132528,3.163693383,38.08502833,311.8102518,64.50483211,North,33.89544674,54.34611584,410.7828816,Sandy,0.938125929,68.98656817,Cotton
99,91,44,34.13129831,2.776569907,6.6509217,270.2334062,3581.867501,1.087507228,North,63.88176049,18.99333502,519.1729286,Loamy,0.135733069,49.85099507,Cotton
38,65,60,42.33448917,30.75822971,4.234794784,98.07169059,107.8620689,68.93308669,South,64.13491076,65.29364866,736.7300951,Sandy,0.834234907,4.187207663,Soybeans
7,36,79,33.16861231,18.8215576,8.34622606,128.7949183,2169.392411,22.53752223,North,33.95111538,32.82158938,539.216624,Silt,0.209465728,3.070262771,Potatoes
23,28,91,-7.431522222,55.36492946,3.340504396,460.9115214,2011.387521,44.17674026,South,89.06137076,60.32446839,428.027274,Loamy,0.650776842,89.53250842,Corn
75,7,95,43.22355168,50.26122892,7.176306902,308.9947753,1759.250798,37.34110253,North,86.34054183,52.5866327,995.6964446,Silt,0.406418969,88.72939397,Potatoes
44,78,56,29.39609414,63.69737505,5.923284965,92.46279521,1885.945582,68.75396136,South,37.33066864,73.53294179,226.825487,Clay,0.940803219,0.895891587,Corn
61,46,93,24.82619348,16.66755913,7.670574996,223.9540354,752.163608,4.705592341,East,63.78026998,20.25200384,354.0351505,Silt,0.395744572,21.66768847,Cotton
25,100,73,10.12123597,92.15566811,6.652624025,440.0871971,2129.147181,22.5352135,West,78.73840936,40.49044128,382.5458135,Silt,0.749071822,98.70529476,Barley
33,47,27,19.87824997,14.51230925,5.726945889,481.2126723,3928.836327,14.08918908,East,94.74203046,63.02032829,791.9770804,Sandy,0.74399414,65.4130944,Corn
43,0,5,23.61336519,18.20281871,9.918930577,99.18681276,1182.941371,48.05342432,West,88.53445104,20.88383452,963.2045812,Sandy,0.784133682,64.36086371,Soybeans
74,29,45,31.28133045,13.94861185,4.607387113,29.03398789,2131.513321,89.12613711,East,36.58015106,71.63020034,997.1384415,Clay,0.009152365,7.518196095,Rice
40,51,45,29.25043872,52.1724587,1.155818345,166.6566484,3819.462407,57.51174982,East,79.35879113,5.207186281,256.2695552,Silt,0.238891129,46.5580077,Barley
94,68,11,36.22016065,38.78764521,6.353933006,400.0522259,4580.620673,72.03074304,South,7.361692749,3.331636696,535.6050498,Loamy,0.019974114,98.72661518,Wheat
8,10,8,40.73680953,81.62586161,12.93300218,424.9622985,1481.298753,75.58702144,South,56.25863923,61.3540166,363.2249422,Silt,0.674002075,24.68004475,Wheat
39,61,97,-0.317955543,85.62224436,13.01797334,10.06802887,3481.658407,11.55058478,South,51.36766057,17.3724518,248.8484865,Silt,0.558219155,49.09452866,Soybeans
80,3,98,0.567532963,67.01303228,3.373699047,358.1864332,332.1979642,47.92094703,North,57.50339725,69.63384354,994.2814613,Loamy,0.549046388,23.74513467,Barley
90,71,36,-0.967928892,54.0997557,2.198058608,245.489742,3570.495901,74.55440314,East,47.07219963,6.986088386,304.9549753,Clay,0.829721361,50.48396527,Soybeans
99,14,65,13.46100333,50.55189685,5.331068113,110.5294176,1754.313109,3.8967249,West,98.86607416,92.57678818,971.7881636,Sandy,0.260569049,55.59272823,Barley
30,6,43,34.01531473,9.637155691,11.44186456,78.56581012,2493.352567,73.93485676,East,88.28798699,81.97365589,657.6706057,Silt,0.758547689,80.83256308,Soybeans
90,97,89,-0.351415211,49.62260405,7.873837888,114.1289025,4298.819202,51.31881586,South,38.04006421,90.60905621,247.7734809,Loamy,0.386416453,91.95742907,Potatoes
96,57,36,41.5642281,65.88662027,9.155365873,430.8308556,4710.127314,79.2207772,East,15.609505,24.69333196,390.4632954,Clay,0.114904284,36.12836853,Potatoes
20,26,78,-4.682213458,2.322408188,7.511930805,333.7645612,4029.418317,72.74819863,North,35.59412209,91.12667964,253.3401766,Silt,0.404070607,37.58509264,Wheat
93,78,54,38.3826327,92.33480376,4.071924642,442.8875682,1115.433398,39.27648316,North,8.813181745,10.35220262,650.4241012,Silt,0.191955356,0.575913215,Potatoes
16,27,43,8.738254658,64.94975928,0.029744238,23.68558213,2797.273801,60.58950248,South,20.55070324,93.5697936,729.029185,Clay,0.591994122,80.3975667,Potatoes
60,49,49,43.83512688,70.96382916,12.52227084,365.8385242,1598.430644,40.97980701,South,12.12057332,37.66809994,582.3767681,Loamy,0.636641025,26.82094405,Corn
21,59,15,11.30240786,88.9111977,2.212565853,186.6622161,2771.762966,48.6045942,South,58.03661197,80.84011168,197.0358594,Clay,0.27761432,28.05995635,Corn
84,83,61,12.76457235,20.50413351,10.90888227,486.7988863,3621.260418,16.2003745,West,49.81224867,11.06891804,662.0946236,Clay,0.549046533,94.77371406,Potatoes
95,35,31,1.531931442,15.1573448,11.3809765,129.5968447,153.027372,76.50585375,East,82.11511787,85.72176629,526.3633042,Silt,0.217320038,14.10171557,Potatoes
49,4,100,36.65655886,27.53973021,1.071986694,489.3414918,4307.232992,85.54464002,East,88.64336299,23.49025271,763.9162002,Clay,0.074200271,33.68320809,Barley
46,5,83,0.436782933,51.54853846,9.409036792,11.910197,1030.553266,64.77921081,South,76.82378689,40.68282324,515.651158,Sandy,0.119263116,5.49274072,Soybeans
18,39,82,37.23332821,77.42223284,10.13069427,377.5289676,2050.351506,24.42037578,North,19.84800117,51.37498322,196.7005829,Clay,0.482344301,78.93114403,Potatoes
47,7,31,18.13903263,23.74166477,1.762560823,159.4633836,1921.331665,45.77152484,South,3.065516541,94.62889456,357.8238041,Sandy,0.862895847,50.12135296,Corn
84,15,98,43.51881248,17.7078195,3.743442066,311.7820458,2962.891704,25.38165754,East,31.57243763,94.50298394,899.921073,Clay,0.325479834,11.28190562,Rice
26,24,4,36.87321661,81.44052276,11.00048696,370.2366865,1307.74383,31.89398063,East,79.41052296,16.51495459,451.3971246,Clay,0.568018804,87.94324288,Wheat
47,91,19,1.551643775,2.943329807,12.11256781,366.3841206,1075.098291,35.20000466,South,83.38132342,73.42688161,269.2221975,Loamy,0.236827167,96.13384989,Wheat
2,72,71,34.17788793,95.33015188,0.049091857,371.7455897,862.7459786,67.90020194,East,45.86814529,85.21766651,417.9518234,Loamy,0.891917523,89.50552492,Potatoes
65,25,49,25.00744976,44.12668532,6.736336841,14.83913163,1282.530427,37.74030013,North,66.20483094,47.47620095,147.0455289,Silt,0.618778403,45.11055213,Soybeans
59,33,45,6.387600216,25.16927895,2.814784858,164.9558237,4795.427596,27.74691527,West,25.29224815,93.58100693,126.4663628,Sandy,0.894525602,20.40586711,Rice
5,41,72,-0.283701873,15.15680609,3.044371593,307.7909467,1060.689297,3.811337758,East,25.71007542,44.80097539,564.0959367,Sandy,0.479693657,34.18247801,Potatoes
47,35,45,41.84639324,13.13551579,10.82811383,472.3979197,3121.192219,43.69278778,South,51.41390387,29.24787811,151.4176835,Clay,0.438135048,12.89045808,Wheat
29,7,4,-7.816761932,48.11472616,5.937284743,201.7023444,1530.330462,4.390415988,North,87.59712899,2.665717002,125.108867,Loamy,0.782550859,24.21108926,Potatoes
61,70,58,7.153632892,64.55678795,2.394855361,363.1978664,1646.905615,54.75244515,North,29.63092371,36.0904868,427.4649821,Silt,0.444338668,73.08002122,Rice
89,84,27,35.76422493,32.27007973,12.30930408,115.3942855,1779.290623,63.31455288,South,68.72082656,4.580451059,135.480968,Loamy,0.494875993,5.498605175,Cotton
36,95,81,31.47389226,98.6175801,13.98925082,368.7362047,4495.022838,33.50633442,North,57.14308839,53.04788078,84.14976118,Sandy,0.245493234,85.37090644,Barley
2,66,4,38.23195465,19.56425862,9.958864465,132.0793711,2371.502765,75.87193051,North,18.04361814,19.38407699,671.8750917,Loamy,0.404503774,33.03520881,Rice
89,61,70,42.56738116,42.12358798,3.03395327,411.116742,996.4534803,62.23289315,North,29.3528068,33.81865513,829.835139,Loamy,0.757584872,39.57747585,Barley
63,7,63,-3.634691719,51.14340861,2.934820249,332.1521231,464.6919128,27.457898,East,38.3431162,71.60032191,816.8171988,Clay,0.185215525,98.30656119,Rice
27,30,19,13.68459074,64.67076247,11.36671414,449.3639581,3097.549441,42.29255382,East,0.300645398,32.61623222,269.4734684,Loamy,0.689106784,83.12500633,Corn
29,33,56,20.79849417,59.51177392,13.31490026,355.8335356,2877.777524,1.528365379,West,76.18553083,46.53856887,752.482458,Silt,0.020051575,25.42125207,Rice
68,57,58,17.24694292,35.90674928,0.699859998,161.7169062,2245.168917,73.21622704,West,57.63547769,17.65199962,654.3288698,Loamy,0.595701361,43.60516732,Soybeans
16,97,75,43.68416478,5.214865136,10.72478237,262.6890235,4522.149278,77.68182973,East,93.63618358,34.15289815,602.9885682,Sandy,0.903101114,51.94175696,Cotton
17,16,1,40.06461058,26.69543388,7.625746494,330.5675299,4713.159253,38.41664375,West,50.22810841,88.63266374,556.9538155,Clay,0.077493544,43.70272796,Soybeans
96,55,38,-1.263290467,34.58358506,4.86768061,119.5431242,723.3001626,59.63940105,West,90.56123744,69.9917126,480.4803791,Sandy,0.962666933,28.8359578,Corn
29,37,54,3.425329007,9.465219257,8.770316124,149.0931987,3062.537223,34.65553317,South,79.62792009,83.01073234,568.4195843,Clay,0.809607828,55.39916617,Wheat
23,90,91,-5.72936667,99.00472776,8.622136948,341.183328,3957.444194,53.78721529,South,74.50061596,27.96783108,870.9640653,Clay,0.592883255,68.35115679,Rice
84,63,100,-8.849279507,69.02150664,1.356567854,264.317554,2797.457499,80.44145683,North,74.49636722,45.56174399,580.5549027,Sandy,0.080022447,76.22208762,Soybeans
44,51,75,37.02866251,12.39630286,4.852897521,380.8566195,3519.518923,22.17666163,North,14.97119326,82.83986213,754.525216,Sandy,0.798349391,85.0910552,Cotton
16,86,81,-5.746114826,26.7174923,4.508304147,482.6671296,4110.773449,2.461861772,East,46.17499124,2.453748892,975.0236857,Clay,0.932347937,26.48247081,Soybeans
29,54,78,18.96325206,56.23750033,12.19779304,255.5665739,1537.071755,89.1826529,South,48.06416899,90.16344913,524.6141993,Silt,0.114086811,64.50110784,Cotton
30,20,10,36.83166741,92.179133,3.638016119,431.592692,3197.93681,57.40370223,East,87.67102623,80.26707619,749.1353796,Clay,0.305170083,33.95385226,Rice
42,7,6,37.63725765,45.00759499,5.1753272,409.1357505,4520.092893,31.00854247,South,35.66939595,45.55562216,982.3902893,Clay,0.845012923,7.635180658,Barley
89,2,69,9.466813974,92.89345459,6.97451376,125.1094388,3094.004445,58.80517511,East,59.11909654,32.20760428,949.0566478,Clay,0.09047882,36.13706904,Soybeans
25,3,66,-4.759200118,82.05321354,8.184394063,350.5346775,112.3746724,28.44534222,West,50.92357837,69.4903933,60.85482078,Clay,0.950740697,6.039719582,Rice
30,94,0,24.38337753,11.5987336,10.73791356,320.78213,267.1198043,20.10500579,South,17.11001187,99.54900709,50.77070018,Loamy,0.614686976,69.29725556,Wheat
7,40,35,33.40844325,66.3900037,9.880173581,400.5383909,2620.105324,65.34490464,East,3.336795042,21.45811549,94.32133838,Clay,0.463889841,99.4869632,Corn
86,99,27,43.81844762,70.998995,4.284892325,253.5017363,1229.809638,0.73785301,East,66.72518869,97.53194292,108.2446525,Clay,0.067267055,59.45620898,Corn
23,83,29,20.0777042,25.93246999,5.38591801,292.231394,3961.528586,52.25247116,North,37.0244144,75.07862172,441.09921,Silt,0.622384502,0.485571919,Barley
41,85,62,8.27788801,7.207939394,0.079645115,374.5648579,4254.841345,71.52802579,East,6.274366029,55.22949244,227.7535677,Clay,0.203130493,5.783378718,Cotton
42,65,27,2.196967544,52.71299326,2.399467614,51.26157405,3327.324149,89.32601387,North,16.32908579,43.61464808,429.2826149,Loamy,0.783451357,57.81318103,Cotton
96,64,17,32.3407527,73.34768966,7.748534287,114.6185186,2103.17708,36.84639844,South,46.36564725,77.18268285,249.4206613,Loamy,0.888279305,8.748848903,Potatoes
21,74,47,24.23061339,47.14770009,10.35650639,180.264292,4389.446378,36.4812183,East,70.45127184,21.8238679,236.1375305,Clay,0.888151692,23.95335458,Barley
64,66,1,4.483524381,71.02644009,9.442606751,335.4404704,3449.738166,68.84036691,South,43.46207407,2.872369836,43.25233667,Loamy,0.547922582,90.0350311,Wheat
16,23,9,29.83902746,49.58156423,8.144735445,29.95553167,2516.005823,52.63840117,West,61.84805654,94.59865151,963.9069719,Loamy,0.94230729,24.63885814,Barley
9,72,77,16.35621211,89.97249004,4.090978658,335.3208346,3791.011552,74.44737943,North,30.64313101,48.25847126,234.8436801,Loamy,0.405163699,51.27426979,Corn
29,23,3,19.07231478,80.06211133,2.409255698,7.674671283,2085.800768,2.387318409,North,76.65708711,24.51929309,766.1351784,Clay,0.714638071,45.66581897,Cotton
86,91,66,-3.857911026,52.28340908,11.10790384,329.4369654,4915.205779,63.84214614,North,38.58420088,33.0106575,144.4825716,Silt,0.281019891,82.51717792,Potatoes
86,35,45,12.36997907,79.71521828,5.675095609,343.7953199,1516.704763,56.2286416,North,67.2652615,23.08631418,753.9191188,Silt,0.757844003,15.15571005,Soybeans
21,98,8,43.44463184,70.68622774,10.44731082,442.5165994,3182.67574,8.63025707,North,67.37083811,49.62081104,655.9860131,Silt,0.170800291,21.97165107,Wheat
57,64,14,19.84623688,90.50344282,0.62856023,119.964522,3277.593303,19.00873041,West,14.81180778,2.292456978,191.7485119,Loamy,0.356610785,42.72118854,Soybeans
18,100,46,8.472729857,0.852500286,12.3307166,54.11317907,4774.194639,51.20061946,West,6.938993973,39.20435154,256.1887728,Silt,0.261386953,68.1305453,Cotton
97,97,56,42.3462467,0.241238885,9.983821697,427.7291509,2793.741722,82.39457326,East,22.90769854,80.7772364,422.8302253,Silt,0.491572549,43.58887965,Potatoes
54,72,100,21.08454055,19.4879548,8.998587887,430.4586387,4477.915934,52.08391561,North,59.10039384,96.87841695,311.3411765,Silt,0.310096781,98.86995814,Cotton
36,44,76,-3.131650864,12.37106871,10.3022889,280.1489708,1212.601517,67.53846354,South,38.25982047,8.751482802,250.4621768,Sandy,0.264695073,17.13774854,Barley
72,36,83,17.24497744,64.16778103,0.628237296,384.7840903,4923.474693,63.60241906,South,86.00815554,38.1950708,694.429648,Clay,0.163084623,23.49428632,Barley
81,74,44,36.50336976,60.15133753,6.591468489,467.9429687,4973.913447,20.08361934,West,38.09886085,93.29935745,333.0291072,Sandy,0.417665038,96.444796,Corn
17,97,74,9.890447383,98.71449027,2.782782482,102.105694,2241.019646,47.56654134,South,41.82764741,11.25825369,253.2302713,Sandy,0.496729178,31.66929313,Cotton
8,78,54,11.18313448,16.57932644,5.067584223,138.0828434,635.3069324,85.94863216,East,35.19322108,33.34768504,298.1014206,Loamy,0.575075601,36.88522506,Barley
92,59,42,7.519688331,78.18429758,8.197661162,498.0845346,2718.892863,41.55723917,South,95.28985414,27.96155803,783.4968698,Loamy,0.28955847,9.053532589,Soybeans
76,66,17,43.40901671,56.22459471,8.586269432,280.3448252,4013.117671,17.27578551,East,46.78205542,87.89339318,23.73616544,Loamy,0.808385981,37.17360299,Wheat
74,83,1,5.164139112,62.63452296,13.5602808,470.6631512,4660.181359,43.13686183,East,97.98157897,87.32262757,286.1488155,Loamy,0.284237532,18.25541631,Barley
58,74,67,5.922460571,5.544362626,9.783077528,260.6379405,2121.762883,62.6305225,West,12.56317216,92.33194223,75.48830064,Silt,0.581365324,58.59201007,Potatoes
63,57,99,8.35250467,85.55790123,7.230824231,320.6709773,50.90778839,45.73601057,South,86.07319178,66.3710573,113.3515967,Loamy,0.700180728,61.2469847,Potatoes
0,56,25,-3.30826081,92.8023779,3.553420966,35.23900169,2263.20648,78.98279535,North,42.8366441,60.30138881,372.4149563,Loamy,0.208405278,28.24014716,Rice
72,48,7,-9.299503799,88.30776163,12.65195738,274.3177319,3724.400468,2.224165972,North,13.75415092,92.25378137,313.0694978,Sandy,0.18785434,72.00152822,Cotton
94,92,71,10.20215046,41.6540028,7.124192912,437.2083787,1254.42767,5.927313552,West,0.461853221,95.44700513,89.80951699,Loamy,0.108467312,66.732595,Barley
59,50,29,-7.549358103,37.90988164,6.413305049,143.8416853,892.3877965,41.25651321,South,91.61648299,2.996938105,988.6377361,Loamy,0.55197715,72.53530336,Barley
87,59,28,-3.486311529,66.95644721,9.759315741,127.4013989,4726.89386,45.28975741,South,17.96155467,52.44568794,62.07593062,Clay,0.145942656,32.08517999,Potatoes
11,66,73,-5.11194808,10.12657668,12.75022409,45.38826802,4130.126437,2.949477212,South,19.3623552,30.67737786,166.1930252,Silt,0.394907419,33.45039072,Soybeans
8,50,60,2.641418646,41.68914774,13.26974377,371.7392051,4694.204707,63.03851089,North,78.80362787,2.060516018,96.48172111,Clay,0.641410617,84.41490776,Barley
22,83,56,25.60645557,31.41529128,5.860461147,261.3120909,66.9652697,2.342202162,North,48.66922116,52.93303833,7.937928138,Clay,0.668813726,49.35113483,Soybeans
21,2,18,-3.467618836,32.41941248,12.2784782,95.99024198,4158.478349,30.51705011,East,22.42416419,3.750551258,570.8664973,Clay,0.788047861,93.03079214,Cotton
17,9,74,23.56481604,27.59160464,11.69288446,249.8043411,4.817820391,88.23677006,South,50.15366288,10.57966945,541.9389833,Silt,0.289502722,18.35978781,Wheat
46,82,40,44.56101635,60.05966518,3.98710382,338.9677337,4607.412247,4.56209544,South,10.7823791,12.40577924,63.16359862,Sandy,0.131218601,0.577997376,Soybeans
98,63,45,2.550743957,53.33987016,2.621855125,21.65163864,4500.325234,87.7295314,South,53.00172964,53.47745934,550.5559615,Sandy,0.985886971,47.4620363,Corn
42,6,9,1.557239751,48.36758519,9.152006328,67.02966911,672.0749351,30.48799529,South,52.36621906,52.72459866,147.0593541,Silt,0.225459852,2.372493493,Potatoes
57,45,92,2.9443679,84.46404196,6.970447257,217.8527978,4669.015815,30.56340647,North,20.79204778,18.3229622,142.5221788,Silt,0.825027828,99.83882285,Corn
21,95,44,12.87630328,46.36856373,9.26745503,205.5875085,3733.802412,35.69774338,East,88.48859737,92.84548159,229.3926692,Silt,0.315084988,99.87209555,Rice
30,74,49,18.31389292,3.096993654,9.193495552,25.88420752,4087.746426,26.1356917,East,5.77384121,4.718940248,272.9172545,Clay,0.179590195,86.78586333,Rice
